제목, 저자, 출판사, 정가, 판매가, 출간일
IT 비전공자를 위한 파이썬 업무 자동화(RPA),비현코,디지털북스,26000,23400,2023-04-30
파이썬과 Qt6로 GUI 애플리케이션 만들기,마틴 피츠패트릭,에이콘출판,45000,40500,2023-03-31
데이터 분석으로 배우는 파이썬 문제 해결,최의용,비제이퍼블릭,26500,23850,2023-10-30
컴퓨팅 사고와 창의적 코딩,조대제/송희헌/배미영,인피니티북스,20000,19000,2019-02-25
생물정보학을 위한 파이썬,켄 유엔스 클라크,에이콘출판,45000,40500,2023-11-29
핵심만 요약한 통계와 머신러닝 파이썬 코드북,조정임,알고보니,34000,30600,2023-09-25
어쩌다 데이터 분석 with 파이썬,김유지,한빛미디어,28000,25200,2022-09-29
파이썬 클린 코드,마리아노 아나야,터닝포인트,29000,26100,2022-11-11
알고리즘 인사이드 with 파이썬,손혁제,한빛미디어,38000,34200,2023-10-19
Head First Python(개정판),폴 배리,한빛미디어,32000,28800,2017-12-04
쉽게 따라 만드는 파이썬 주식 자동매매 시스템,박준성,길벗,28000,25200,2021-10-14
나는 파이썬으로 머신러닝한다 2,장병철/이지항/박지훈/최정원,씨마스,23000,20700,2023-09-01
생각대로 파이썬 파이썬 첫걸음,전현희/강희숙/주희정/최민희,잇플,23000,20700,2021-01-04
파이썬 머신러닝 완벽 가이드,권철민,위키북스,40000,36000,2022-04-21
백엔드를 위한 Django REST Framework with 파이썬,권태형,영진닷컴,18000,16200,2022-05-20
2023 빅데이터분석기사 실기 한권완성 파이썬(Python),최예신/박진원/이경숙/김주현,예문에듀,30000,27000,2023-06-15
파이썬과 마이크로비트로 배우는 실전 코딩 프로젝트,김정화/엄온숙/아이씨뱅큐,아이씨뱅큐,21000,18900,2023-09-12
몬테카를로 시뮬레이션으로 배우는 확률통계 with 파이썬,장철원,비제이퍼블릭,33000,29700,2023-03-08
Hello 실전 파이썬 프로그래밍 world,조상철,혜지원,22000,19800,2022-01-14
Do it! 점프 투 파이썬: 라이브러리 예제 편,박응용,이지스퍼블리싱,26000,23400,2022-05-25
밑바닥부터 시작하는 딥러닝,사이토 고키,한빛미디어,24000,21600,2017-01-03
이기적 빅데이터분석기사 실기 기본서,나홍석/배원성/이건길/이혜영/고려사이버대학교 AI·빅데이터 연구소,영진닷컴,32000,28800,2022-05-06
이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈,한빛미디어,34000,30600,2020-08-05
인공지능을 위한 머신러닝과 딥러닝 with 파이썬,김현정/유상현,길벗캠퍼스,28000,28000,2023-09-22
Python 실습으로 기초부터,이진영,서현사,21000,21000,2017-08-25
파이썬 텍스트 마이닝 완벽 가이드,박상언/강주영/정석찬,위키북스,28000,25200,2022-02-18
컴퓨팅 사고력 프로그래밍 PYTHON,김충석,이한미디어,22000,22000,2020-02-10
파이썬 플라스크 웹 앱 개발 입문,사토 마사키/히라타 테츠야,에이케이커뮤니케이션즈,38000,34200,2023-02-10
코딩은 처음이라 with 파이썬,남규진,영진닷컴,20000,18000,2023-04-05
파이썬으로 쉽게 풀어쓴 자료구조,최영규/천인국,생능출판,27000,27000,2020-02-24
