제목, 저자, 출판사, 정가, 판매가, 출간일
Let's 실전 예제로 배우는 파이썬 프로그래밍,김진성,아이비김영,22000,19800,2020-06-02
실전 개발을 위한 파이썬 디자인 패턴,향단코드,온노트,3000,-1,2018-08-21
엑셀과 비교하며 배우는 파이썬 데이터 분석,장쥔홍,제이펍,24000,21600,2021-06-17
슬기로운 파이썬생활 데이터 싹쓰리 & 업무자동화,서진수/손기동,가치랩스,33000,29700,2020-11-30
파이썬 프로그래밍(컴퓨팅 사고력을 키워주는),김성호,글로벌,18000,16200,2017-12-27
파이썬으로 구현한 인공지능,박태희,홍릉,23000,23000,2021-09-06
파이썬 활용 산업응용수학의 기본,김준석/김상권/이채영/정다래/최용호/곽수빈,지오북스,15000,13500,2020-09-10
파이썬으로 시작하는 라즈베리파이 3,김경신,복두출판사,16000,15200,2018-03-06
컴퓨터 프로그래밍 첫걸음(파이썬으로 배우는),성창규/전인호/박성호,앤아이컴즈,20000,18000,2016-03-02
파이썬으로 배우는 머신러닝의 교과서,이토 마코토,한빛미디어,29000,26100,2018-11-01
The Python - 파이썬 프로그래밍,허진경,부크크(Bookk),32000,32000,2021-09-09
파이썬을 활용한 데이터 분석과 응용,이성건/강현철,자유아카데미,30000,30000,2021-06-10
컴퓨팅 사고(스크래치와 파이썬으로 풀어보는),김성애/박주연/박태정,인피니티북스,25000,25000,2022-03-10
파이썬으로 배우는 소프트웨어와 인공지능,조행래/윤종희/서영석/김영탁,영남대학교출판부,25000,25000,2022-03-15
파이썬으로 구현하는 AI 이해와 활용,박상배/변선준/김상원/임호,일진사,22000,19800,2022-03-15
Step by Step 파이썬 비즈니스 통계분석,김형수,프레딕스,32000,28800,2021-11-01
파이썬과 함께하는 벡터와 행렬 이야기,손현석,토마토마트,12000,-1,2018-09-13
파이썬과 주피터 노트북 기반의 SAS Viya,강봉주,자유아카데미,33000,33000,2021-10-20
한권으로 파이썬과 드론 날로 먹기,이현종/박재일,잇플,18000,-1,2020-07-16
21개의 작고 재미난 파이썬 프로젝트,켄 유엔스-클락,제이펍,30000,27000,2021-08-11
하루에 쪼갠다 파이썬 (실전코드 핵심기초),코딩 코치스,유페이퍼,4600,-1,2020-08-22
딱 하루에 끝내는 파이썬 핵심기초 (컬러판),더 코딩 칼리지,부크크(Bookk),12700,12700,2020-11-11
누구나 가능한 파이썬 프로그램(개정판),최종명/조광문/송필재,J&H,15000,-1,2018-08-31
파이썬 웹 프로그래밍 에센셜 &#40;판매중단&#41;,김승구,부크크(Bookk),24800,24800,2020-06-18
파이썬을 활용한 데이터 길들이기(프로그래밍인사이트),재클린 카질/캐서린 자멀,인사이트,33000,29700,2017-08-21
Anti-Virus 구조와 원리(파이썬으로 배우는),최원혁,비제이퍼블릭,34000,30600,2017-09-29
인공지능과 함께하는 파이썬,복거철/정회경,성진미디어,15000,15000,2021-11-30
파이썬으로 구현하는 고급 머신 러닝,존 하티,에이콘출판,33000,29700,2017-08-17
데이터 과학을 위한 파이썬 머신러닝,최성철,한빛아카데미,30000,30000,2022-01-03
파이썬 입문 A to Z(반드시 알아야 할),문용준/문성혁/박재일,토마토북,16500,14850,2019-06-17
YBM DATA 데이터분석기술평가 파이썬 2급 개정판,김승욱,연두에디션,10000,-1,2022-08-18
파이썬을 이용한 인터랙티브 대시보드 만들기 (컬러판),홍성준 홍성수,부크크(Bookk),32800,32800,2021-07-08
한 번 배운 파이썬, 나만의 활용 스킬,이강성,프리렉,20000,18000,2020-07-22
IT 비전공자를 위한 돈 버는 파이썬 코딩,비현코,디지털북스,18000,16200,2021-10-10
파이썬을 여행하는 히치하이커를 위한 안내서,케네스 라이츠/타냐 슐로서,인사이트,27000,24300,2017-10-31
마인크래프트로 배우는 파이썬 프로그래밍,크레이그 리처드슨,제이펍,25000,22500,2016-08-10
실전 개발을 위한 파이썬 디자인 패턴 2,향단코드,온노트,5000,-1,2019-05-30
파이썬 표준 라이브러리(CD-ROM 1장 포함),프레드릭 런드,한빛미디어,20000,-1,2001-09-13
모의 침투 입문자를 위한 파이썬 3 활용,오동진/박재유,에이콘출판,25000,22500,2020-02-28
파이썬과 함께 하는 EV3 로봇 창작 프로젝트(‘쉽게 배우는’ SW 코딩 교육...,김형기,삼양미디어,18000,16200,2020-11-05
유튜버 주간컴공 지마&참깨의 프리패스 파이썬,지마/참깨,고시고시,18000,16200,2021-01-04
파이썬 해킹프로그래밍(게으른 해커의 쉽게 배우는),한상준/조태남/이성원,박영사,14000,14000,2019-03-04
파이썬을 이용한 실전 프로그래밍(한국어판),Ljubomir Perkovic,도서출판 홍릉(홍릉과학출판사),35000,35000,2019-03-25
머신 러닝을 위한 수학 with 파이썬, R,이원상,길벗,24000,21600,2020-08-24
보통의 취준생을 위한 코딩 테스트 with 파이썬,권국원,로드북,30000,27000,2022-02-23
파이썬과 Fraudit을 활용한 회계부정적발,안정국,아진,50000,-1,2021-09-14
처음 시작을 위한 파이썬 해설Ⅰ(체험판),강성모,불잉걸,0,-1,2018-08-07
하루에 쪼갠다 파이썬 (실전코드 핵심기초) (컬러판),코딩 코치스 Coding Coaches,부크크(Bookk),9800,9800,2020-11-27
인공지능 100점을 위한 파이썬 수학,임성국,비제이퍼블릭,24000,21600,2020-04-29
사이버파이로 배우는 파이썬 인공지능 코딩,이현주,슈퍼트랙,25000,22500,2021-08-30
파이썬 인 프랙티스(위키북스 프로그래밍 & 프랙티스 시리즈 8),마크 서머필드,위키북스,28000,25200,2014-09-03
파이썬 터틀 그래픽을 이용한 프로그래밍과 코딩,정민영,21세기사,20000,18000,2017-09-01
YBM DATA 데이터분석기술평가 파이썬 2급,김승욱,연두에디션,8000,-1,2021-11-24
코딩 클럽 LV 3: 제대로 된 파이썬 앱 만들기,크리스 로피,한빛미디어,10000,9000,2015-11-20
아두이노와 파이썬을 이용하여 모션 제어하기,한정남,이페이지,10000,-1,2017-02-13
헬로 파이썬 프로그래밍(위키북스 프로그래밍 프랙티스 시리즈 6),워렌 산데/카터 산데,위키북스,25000,-1,2014-02-28
누구나 파이썬 너도 데이터 가지고 놀 수 있어! 1(개정판),민형기,잇플,18000,16200,2020-01-24
파이썬 라이브러리로 배우는 딥러닝 입문과 응용,발렌티노 조카/지안마리오 스파카냐/다니엘 슬레이터/피터 로런츠,제이펍,28000,25200,2018-12-18
내가 하는 사물인터넷 프로그래밍 1: 라즈베리 파이 파이썬 편,설상동/김혜숙,지식과감성,20000,18000,2017-03-10
The Python - 파이썬 프로그래밍 3부,허진경,부크크(Bookk),28000,-1,2019-09-27
The Python - 파이썬 프로그래밍 1부,허진경,부크크(Bookk),22000,-1,2019-09-27
The Python - 파이썬 프로그래밍 2부,허진경,부크크(Bookk),18000,-1,2019-09-27
한권으로 파이썬 데이터 사이언스 입문 AtoZ,문용준/문성혁,도서출판 잇플 ITPLE,22000,-1,2020-01-07
컴퓨터 사고력 향상을 위한 데이터 구조 및 알고리즘: 파이썬 편,정인기,홍릉,27000,27000,2022-05-30
핸즈온 파이썬을 이용한 설명가능한 AI(XAI),Denis Rothman,DK로드북스,28000,28000,2021-01-10
데이터/수치 분석을 위한 파이썬 라이브러리 SciPy와 NumPy,엘리 브레설트,한빛미디어,9900,-1,2015-05-18
파이썬 오픈소스 도구를 활용한 악성코드 분석,조정원/최우석/이도경/정지훈,에이콘출판,42000,37800,2015-09-30
파이썬 프로그래밍 기초부터 응용까지 세트(전2권),웨슬리 천/제니퍼 캠벨/폴 그리스/제이슨 몬토조/그렉 윌슨,에이콘출판,68000,61200,2014-02-12
파이썬과 기계 학습(acorn+PACKT 시리즈)(acorn+PACKT 시리즈),라울 가레타/기예르모 몬세치,에이콘출판,14000,12600,2016-01-04
파이썬을 이용한 빅데이터 수집, 분석과 시각화,이원하,비팬북스,24000,21600,2017-06-20
대소니의 딥러닝 기초(파이썬, 케라스로 배우는),김철우,디지털북스,23000,20700,2018-04-05
PyQt5 Tutorial - 파이썬으로 만드는 나만의 GUI 프로그램,김민휘,유페이퍼,7000,-1,2020-03-12
파이썬 웹 프로그래밍(위키북스 오픈소스 웹 시리즈 56),주성식/홍성민,위키북스,25000,-1,2014-01-28
파이썬과 파이게임(쉽고 재미있게 예제로 배우는!),정선호,그린,28000,28000,2020-02-25
코딩천재의 비법노트 3단계: 파이썬, HTML과 CSS,브레인 퀘스트,우리학교,13000,11700,2021-12-20
한권으로 개발자가 원하던 파이썬 심화 A to Z,문용준/문선혁,도서출판 잇플 ITPLE,25000,-1,2020-01-07
이제 시작이야! 컴퓨팅 사고력으로 인공지능까지 파이썬,전수진/박주연/김수환,연두에디션,23000,21850,2022-01-10
R과 파이썬 머신러닝 어프로치(연구 논문을 위한),강병서,한경사,35000,35000,2020-05-30
구글 앱 엔진 시작하기(파이썬과 자바로 함께 배우는),박상엽,인사이트,19800,-1,2010-02-07
파이썬 프로그래밍(컴퓨터 기초 과학 학습을 위한)(IT HOLIC 81),강남오/김재호,북스홀릭퍼블리싱,25000,-1,2014-10-01
Python Crash Course,Matthes Eric,No Starch Press,50000,47160,2015-12-31
한권으로 파이썬과 드론 날로먹기: 인공지능 편,이현종/박재일,잇플,23000,20700,2021-09-10
파이썬 3 프로그래밍(빠르게 활용하는)(위키북스 프로그래밍 프랙티스 시리즈 1),신호철/우상정/최동진,위키북스,26000,-1,2009-06-30
파이썬 3.6 프로그래밍(빠르게 활용하는)(위키북스 프로그래밍 & 프랙티스...,신호철/최동진/우상정,위키북스,30000,27000,2017-07-18
라즈베리 파이 프로그래밍(파이썬으로 시작하는)(제이펍의 로봇 시리즈 4),사이먼 몽크,제이펍,18000,-1,2013-09-27
파이썬으로 실무에 바로 적용하는 머신 러닝(데이터 과학),강봉주,에이콘출판,30000,27000,2019-01-30
파이썬 기초의 모든 것, 14개의 코딩 이야기!(코딩 첫걸음 시리즈 3),박영호/이병재,교학사,12000,10800,2018-04-20
파이썬 함수 사용 설명서: 내장함수, 클래스, 메서드 편(기초부터 탄탄히),권판검,글로벌,22000,19800,2021-08-06
MYSQL 시스템관리와 프로그래밍:자바 PHP 펄 C 파이썬(개정판),조지 리스 외,한빛미디어,15000,-1,2007-09-17
만들면서 배우는 나만의 인공지능 서비스,최은석,위키북스,28000,25200,2023-09-06
MYSQL 시스템관리와 프로그래밍:자바 PHP 펄 C 파이썬(개정판),조지 리스 외,한빛미디어,25000,-1,2002-10-18
컴퓨팅 사고와 함께하는 파이썬 기초부터 인공지능 응용까지,김성백/김철민/박찬정,연두에디션,24000,24000,2019-12-20
데이터 과학 입문과 실습(파이썬으로 배우는)(위키북스 데이터 사이언스...,데이비 실린/아르노 메이즈맨/모하메드 알리,위키북스,27000,24300,2018-02-13
파이썬 실무 프로그래밍(시스템/네트워크 관리자를 위한)(위키북스 시스템...,조훈/김종숙,위키북스,45000,40500,2017-03-31
머신러닝 딥러닝을 이용한 A.I. 자율주행 RC카 프로젝트 with 파이썬+아두이노,서민우,앤써북,18000,16200,2022-05-20
The Python - 파이썬 프로그래밍&#40;합본&#41; &#40;판매중단&#41;,허진경,부크크(Bookk),54800,54800,2019-07-19
파이썬을 활용한 크롤러 개발과 스크레이핑 입문(위키북스 데이터 사이언스...,카토 카츠야/요코야마 유우키,위키북스,30000,27000,2019-07-24
빠르게 활용하는 파이썬 3.2 프로그래밍(개정증보판)(위키북스 프로그래밍...,신호철/우상정/최동진,위키북스,28000,-1,2012-04-12
미적분과 벡터해석 기초,심성아/윤기헌,경문사,15000,14550,2020-03-02
밑바닥부터 시작하는 딥러닝 2,사이토 고키,한빛미디어,29000,26100,2019-05-01
파이썬으로 자동 환율 알리미 만들기 :여행 전 환율이 신경쓰이는 여행자를...,손인균,스타일라이프,5000,-1,2019-01-17
이한영의 Django(장고) 입문,이한영,디지털북스,25000,22500,2023-03-10
밑바닥부터 시작하는 딥러닝 3,사이토 고키,한빛미디어,38000,34200,2020-11-10
Automate the Boring Stuff with Python,알 스웨이가트,No Starch Press,52000,39000,2019-10-15
Do it! 데이터 분석을 위한 판다스 입문,다니엘 첸,이지스퍼블리싱,25000,22500,2023-11-20
수치해석(이공학도를 위한),최덕기,학산미디어,25000,24000,2017-09-05
파이토치 라이트닝으로 시작하는 딥러닝,Sawarkar Kunal/시밤 R. 솔란키/아밋 조글카르,에이콘출판,35000,31500,2023-09-26
데이터 분석가가 반드시 알아야 할 모든 것,황세웅,위키북스,38000,34200,2023-01-19
Do it! 점프 투 장고,박응용,이지스퍼블리싱,19800,17820,2021-01-06
코딩 없이(Low code) 클릭으로 한 번에 빅데이터 분석하기,윤우제/이래중,ORP Press,15000,13500,2023-05-31
Natural Language Processing with Python,Bird Steven/ Klein Ewan/ Loper Edward,Oreilly & Associates,79710,65000,2009-06-01
Python for Data Analysis,,,68575,68575,2012-11-01
Quantum Machine Learning with Python,Pattanayak Santanu,Apress,55560,46180,2021-04-28
Image Processing Masterclass with Python,Dey Sandipan,Bpb Publications,40900,35880,2021-03-10
CODING BASICS PYTHON,김상민/장성식/김일태,렉스미디어닷넷,20000,18000,2022-02-10
Python Programming in Context 2/E (Paperback),Miller,Jones and Bartlett Publishers,,43000,42570,2013-01-01
Hands-On Time Series Analysis with Python,Vishwas B V/Patel Ashish,Apress,52000,45460,2020-10-29
Learning Scientific Programming with Python,Christian (University College London) Hill,,64570,52570,2016-02-04
Do it! 점프 투 플라스크,박응용,이지스퍼블리싱,19800,17820,2020-11-25
차근차근 실습하며 배우는 파이토치 딥러닝 프로그래밍,아카이시 마사노리,위키북스,32000,28800,2022-08-18
생활 속 예제로 배우는 생생 데이터 분석,조인석,한빛아카데미,23000,23000,2023-01-01
인공지능,천인국,인피니티북스,33000,33000,2023-03-10
머신러닝과 인과분석,김양석/노미진/한무명초,박영사,19000,19000,2023-08-30
인공지능, 주식투자 좀 부탁해,곽경일,비제이퍼블릭,25000,22500,2023-06-07
실전 알고리듬 트레이딩 레벨업,안드레아스 F. 클레노우,에이콘출판,40000,36000,2022-07-29
Pandas Cookbook,매트 해리슨/시어도어 페트로우,에이콘출판,45000,40500,2020-12-29
데이터 과학을 위한 통계,피터 브루스/앤드루 브루스/피터 게데크,한빛미디어,34000,30600,2021-05-07
XAI, 설명 가능한 AI,오오쓰보 나오키/나카에 도시히로/후카사와 유타/도요카 쇼/사카모토 뎃페이/사토 마코토,비제이퍼블릭,27000,24300,2022-11-24
Level Up Python,박희수,북팟,29800,29800,2023-03-22
Python 프로그래밍,서문석,퍼플,11500,11500,2017-03-30
Learning Scientific Programming with Python,Hill Christian,Cambridge University Press,59120,59000,2020-11-30
25시간만에 배우는 머신러닝 예제,김준석/김상권/한현수/김영록,이모션미디어,15000,15000,2018-01-31
스마트한 컴퓨터 프로그래밍 기초,임동균/박일선,한티미디어,27000,27000,2023-03-31
Behavioral Data Analysis with R and Python,,,130980,120187,2021-07-06
The Python 3 Standard Library by Example,더그 헬먼,에이콘출판,58000,52200,2020-06-30
Fluent Python,Ramalho Luciano,O'Reilly Media,58000,58000,2015-08-20
Python Tricks,Bader Dan,Dan Bader,38000,33040,2017-10-25
Learning Python,Lutz Mark,O'Reilly Media,101460,60800,2013-01-01
Introducing Python,빌 루바노빅,O'Reilly Media,48000,38400,2015-03-18
Python for Finance,이브 힐피시,O'Reilly Media,58490,40000,2015-01-23
Python Pocket Reference,Lutz Mark,Oreilly & Associates,17500,14000,2014-07-16
Introducing Python,빌 루바노빅,O'Reilly Media,62000,60140,2019-12-10
Text Analytics with Python,Sarkar Dipanjan,Apress,55000,44000,2017-05-19
Coding Projects in Python,Dorling Kindersley Inc (COR),DK Publishing (Dorling Kindersley),28720,18000,2017-06-06
Python Data Science Essentials,Boschetti Alberto,Packt Publishing,49500,47760,2015-07-27
